Measure Names,team_name,Day of c_date,is_new,Number of Records
No Measure Value,Sumo,"October 6, 2014",12,1306
No Measure Value,Sumo,"September 29, 2014",10,1304
No Measure Value,Sumo,"September 22, 2014",22,1303
No Measure Value,Sumo,"September 15, 2014",13,1295
No Measure Value,Sumo,"September 8, 2014",17,1296
No Measure Value,Sumo,"September 1, 2014",16,1289
No Measure Value,Sumo,"August 25, 2014",17,1287
No Measure Value,Sumo,"August 18, 2014",21,1295
No Measure Value,Sumo,"August 11, 2014",20,1288
No Measure Value,Sumo,"August 4, 2014",23,1282
No Measure Value,Sumo,"July 28, 2014",17,1270
No Measure Value,Sumo,"July 21, 2014",22,1260
No Measure Value,Sumo,"July 14, 2014",22,1248
No Measure Value,Sumo,"July 7, 2014",16,1240
No Measure Value,Sumo,"June 30, 2014",20,1241
No Measure Value,Sumo,"June 23, 2014",14,1227
No Measure Value,Sumo,"June 16, 2014",27,1220
No Measure Value,Sumo,"June 9, 2014",35,1199
No Measure Value,Sumo,"June 2, 2014",24,1177
No Measure Value,Sumo,"May 26, 2014",21,1163
No Measure Value,Sumo,"May 19, 2014",28,1156
No Measure Value,Sumo,"May 12, 2014",23,1137
No Measure Value,Sumo,"May 5, 2014",31,1125
No Measure Value,Sumo,"April 28, 2014",20,1101
No Measure Value,Sumo,"April 21, 2014",19,1087
No Measure Value,Sumo,"April 14, 2014",18,1081
No Measure Value,Sumo,"April 7, 2014",19,1072
No Measure Value,Sumo,"March 31, 2014",20,1066
No Measure Value,Sumo,"March 24, 2014",21,1056
No Measure Value,Sumo,"March 17, 2014",13,1041
No Measure Value,Sumo,"March 10, 2014",11,1035
No Measure Value,Sumo,"March 3, 2014",10,1033
No Measure Value,Sumo,"February 24, 2014",15,1031
No Measure Value,Sumo,"February 17, 2014",18,1028
No Measure Value,Sumo,"February 10, 2014",16,1012
No Measure Value,Sumo,"February 3, 2014",17,1004
No Measure Value,Sumo,"January 27, 2014",15,996
No Measure Value,Sumo,"January 20, 2014",4,990
No Measure Value,Sumo,"January 13, 2014",15,992
No Measure Value,Sumo,"January 6, 2014",11,984
No Measure Value,Sumo,"December 30, 2013",9,979
No Measure Value,Sumo,"December 23, 2013",21,973
No Measure Value,Sumo,"December 16, 2013",18,962
No Measure Value,Sumo,"December 9, 2013",10,954
No Measure Value,Sumo,"December 2, 2013",10,951
No Measure Value,Reps,"October 27, 2014",1,521
No Measure Value,Reps,"October 20, 2014",0,519
No Measure Value,Reps,"October 13, 2014",0,519
No Measure Value,Reps,"October 6, 2014",0,519
No Measure Value,Reps,"September 29, 2014",0,519
No Measure Value,Reps,"September 22, 2014",0,519
No Measure Value,Reps,"September 15, 2014",2,519
No Measure Value,Reps,"September 8, 2014",6,514
No Measure Value,Reps,"September 1, 2014",1,504
No Measure Value,Reps,"August 25, 2014",0,503
No Measure Value,Reps,"August 18, 2014",0,503
No Measure Value,Reps,"August 11, 2014",0,503
No Measure Value,Reps,"August 4, 2014",0,503
No Measure Value,Reps,"July 28, 2014",0,503
No Measure Value,Reps,"July 21, 2014",0,503
No Measure Value,Reps,"July 14, 2014",0,503
No Measure Value,Reps,"July 7, 2014",0,503
No Measure Value,Reps,"June 30, 2014",0,503
No Measure Value,Reps,"June 23, 2014",0,503
No Measure Value,Reps,"June 16, 2014",0,503
No Measure Value,Reps,"June 9, 2014",2,503
No Measure Value,Reps,"June 2, 2014",0,499
No Measure Value,Reps,"May 26, 2014",2,499
No Measure Value,Reps,"May 19, 2014",0,497
No Measure Value,Reps,"May 12, 2014",0,497
No Measure Value,Reps,"May 5, 2014",2,495
No Measure Value,Reps,"April 28, 2014",3,493
No Measure Value,Reps,"April 21, 2014",0,486
No Measure Value,Reps,"April 14, 2014",0,486
No Measure Value,Reps,"April 7, 2014",0,486
No Measure Value,Reps,"March 31, 2014",0,486
No Measure Value,Reps,"March 24, 2014",0,486
No Measure Value,Reps,"March 17, 2014",0,486
No Measure Value,Reps,"March 10, 2014",1,486
No Measure Value,Reps,"March 3, 2014",0,483
No Measure Value,Reps,"February 24, 2014",6,483
No Measure Value,Reps,"February 17, 2014",0,475
No Measure Value,Reps,"February 10, 2014",0,475
No Measure Value,Reps,"February 3, 2014",0,475
No Measure Value,Reps,"January 27, 2014",0,475
No Measure Value,Reps,"January 20, 2014",0,475
No Measure Value,Reps,"January 13, 2014",7,475
No Measure Value,Reps,"January 6, 2014",204,465
No Measure Value,QA,"October 27, 2014",0,214
No Measure Value,QA,"October 20, 2014",0,217
No Measure Value,QA,"October 13, 2014",0,219
No Measure Value,QA,"October 6, 2014",0,220
No Measure Value,QA,"September 29, 2014",0,223
No Measure Value,QA,"September 22, 2014",0,226
No Measure Value,QA,"September 15, 2014",0,231
No Measure Value,QA,"September 8, 2014",0,232
No Measure Value,QA,"September 1, 2014",3,238
No Measure Value,QA,"August 25, 2014",1,234
No Measure Value,QA,"August 18, 2014",3,235
No Measure Value,QA,"August 11, 2014",4,238
No Measure Value,QA,"August 4, 2014",1,236
No Measure Value,QA,"July 28, 2014",3,239
No Measure Value,QA,"July 21, 2014",3,242
No Measure Value,QA,"July 14, 2014",3,243
No Measure Value,QA,"July 7, 2014",3,242
No Measure Value,QA,"June 30, 2014",2,247
No Measure Value,QA,"June 23, 2014",1,250
No Measure Value,QA,"June 16, 2014",4,249
No Measure Value,QA,"June 9, 2014",3,250
No Measure Value,QA,"June 2, 2014",2,249
No Measure Value,QA,"May 26, 2014",0,252
No Measure Value,QA,"May 19, 2014",0,254
No Measure Value,QA,"May 12, 2014",3,259
No Measure Value,QA,"May 5, 2014",3,259
No Measure Value,QA,"April 28, 2014",1,256
No Measure Value,QA,"April 21, 2014",3,259
No Measure Value,QA,"April 14, 2014",18,259
No Measure Value,QA,"April 7, 2014",2,246
No Measure Value,QA,"March 31, 2014",1,242
No Measure Value,QA,"March 24, 2014",3,240
No Measure Value,QA,"March 17, 2014",4,235
No Measure Value,QA,"March 10, 2014",0,231
No Measure Value,QA,"March 3, 2014",1,232
No Measure Value,QA,"February 24, 2014",1,234
No Measure Value,QA,"February 17, 2014",1,345
No Measure Value,QA,"February 10, 2014",2,416
No Measure Value,QA,"February 3, 2014",6,471
No Measure Value,QA,"January 27, 2014",3,496
No Measure Value,QA,"January 20, 2014",2,526
No Measure Value,QA,"January 13, 2014",3,534
No Measure Value,QA,"January 6, 2014",0,553
No Measure Value,QA,"December 30, 2013",1,556
No Measure Value,QA,"December 23, 2013",1,555
No Measure Value,QA,"December 16, 2013",4,553
No Measure Value,QA,"December 9, 2013",4,548
No Measure Value,QA,"December 2, 2013",1,544
No Measure Value,Firefox OS,"October 27, 2014",2,1047
No Measure Value,Firefox OS,"October 20, 2014",1,1049
No Measure Value,Firefox OS,"October 13, 2014",2,1055
No Measure Value,Firefox OS,"October 6, 2014",3,1058
No Measure Value,Firefox OS,"September 29, 2014",1,1065
No Measure Value,Firefox OS,"September 22, 2014",3,1076
No Measure Value,Firefox OS,"September 15, 2014",1,1080
No Measure Value,Firefox OS,"September 8, 2014",4,1083
No Measure Value,Firefox OS,"September 1, 2014",5,1077
No Measure Value,Firefox OS,"August 25, 2014",3,1072
No Measure Value,Firefox OS,"August 18, 2014",1,1077
No Measure Value,Firefox OS,"August 11, 2014",4,1074
No Measure Value,Firefox OS,"August 4, 2014",7,1068
No Measure Value,Firefox OS,"July 28, 2014",7,1060
No Measure Value,Firefox OS,"July 21, 2014",5,1055
No Measure Value,Firefox OS,"July 14, 2014",4,1051
No Measure Value,Firefox OS,"July 7, 2014",5,1050
No Measure Value,Firefox OS,"June 30, 2014",1,1042
No Measure Value,Firefox OS,"June 23, 2014",8,1032
No Measure Value,Firefox OS,"June 16, 2014",4,1023
No Measure Value,Firefox OS,"June 9, 2014",3,1022
No Measure Value,Firefox OS,"June 2, 2014",3,1019
No Measure Value,Firefox OS,"May 26, 2014",5,1022
No Measure Value,Firefox OS,"May 19, 2014",4,1013
No Measure Value,Firefox OS,"May 12, 2014",2,1005
No Measure Value,Firefox OS,"May 5, 2014",8,999
No Measure Value,Firefox OS,"April 28, 2014",6,988
No Measure Value,Firefox OS,"April 21, 2014",2,974
No Measure Value,Firefox OS,"April 14, 2014",5,978
No Measure Value,Firefox OS,"April 7, 2014",4,974
No Measure Value,Firefox OS,"March 31, 2014",5,970
No Measure Value,Firefox OS,"March 24, 2014",4,963
No Measure Value,Firefox OS,"March 17, 2014",10,961
No Measure Value,Firefox OS,"March 10, 2014",7,956
No Measure Value,Firefox OS,"March 3, 2014",4,948
No Measure Value,Firefox OS,"February 24, 2014",7,944
No Measure Value,Firefox OS,"February 17, 2014",1,940
No Measure Value,Firefox OS,"February 10, 2014",2,937
No Measure Value,Firefox OS,"February 3, 2014",3,933
No Measure Value,Firefox OS,"January 27, 2014",5,928
No Measure Value,Firefox OS,"January 20, 2014",7,922
No Measure Value,Firefox OS,"January 13, 2014",10,916
No Measure Value,Firefox OS,"January 6, 2014",1,912
No Measure Value,Firefox OS,"December 30, 2013",5,914
No Measure Value,Firefox OS,"December 23, 2013",5,908
No Measure Value,Firefox OS,"December 16, 2013",4,901
No Measure Value,Firefox OS,"December 9, 2013",9,895
No Measure Value,Firefox OS,"December 2, 2013",8,879
No Measure Value,Firefox For Android,"October 27, 2014",2,236
No Measure Value,Firefox For Android,"October 20, 2014",0,233
No Measure Value,Firefox For Android,"October 13, 2014",2,237
No Measure Value,Firefox For Android,"October 6, 2014",0,235
No Measure Value,Firefox For Android,"September 29, 2014",0,236
No Measure Value,Firefox For Android,"September 22, 2014",0,238
No Measure Value,Firefox For Android,"September 15, 2014",0,238
No Measure Value,Firefox For Android,"September 8, 2014",1,237
No Measure Value,Firefox For Android,"September 1, 2014",1,235
No Measure Value,Firefox For Android,"August 25, 2014",2,239
No Measure Value,Firefox For Android,"August 18, 2014",1,238
No Measure Value,Firefox For Android,"August 11, 2014",0,236
No Measure Value,Firefox For Android,"August 4, 2014",2,234
No Measure Value,Firefox For Android,"July 28, 2014",2,234
No Measure Value,Firefox For Android,"July 21, 2014",1,232
No Measure Value,Firefox For Android,"July 14, 2014",0,228
No Measure Value,Firefox For Android,"July 7, 2014",0,228
No Measure Value,Firefox For Android,"June 30, 2014",1,227
No Measure Value,Firefox For Android,"June 23, 2014",0,229
No Measure Value,Firefox For Android,"June 16, 2014",1,231
No Measure Value,Firefox For Android,"June 9, 2014",1,228
No Measure Value,Firefox For Android,"June 2, 2014",0,225
No Measure Value,Firefox For Android,"May 26, 2014",1,226
No Measure Value,Firefox For Android,"May 19, 2014",3,222
No Measure Value,Firefox For Android,"May 12, 2014",0,218
No Measure Value,Firefox For Android,"May 5, 2014",0,219
No Measure Value,Firefox For Android,"April 28, 2014",0,221
No Measure Value,Firefox For Android,"April 21, 2014",0,220
No Measure Value,Firefox For Android,"April 14, 2014",2,221
No Measure Value,Firefox For Android,"April 7, 2014",0,217
No Measure Value,Firefox For Android,"March 31, 2014",0,219
No Measure Value,Firefox For Android,"March 24, 2014",1,219
No Measure Value,Firefox For Android,"March 17, 2014",0,219
No Measure Value,Firefox For Android,"March 10, 2014",1,220
No Measure Value,Firefox For Android,"March 3, 2014",0,222
No Measure Value,Firefox For Android,"February 24, 2014",2,224
No Measure Value,Firefox For Android,"February 17, 2014",0,225
No Measure Value,Firefox For Android,"February 10, 2014",0,223
No Measure Value,Firefox For Android,"February 3, 2014",0,222
No Measure Value,Firefox For Android,"January 27, 2014",1,218
No Measure Value,Firefox For Android,"January 20, 2014",0,216
No Measure Value,Firefox For Android,"January 13, 2014",0,216
No Measure Value,Firefox For Android,"January 6, 2014",1,214
No Measure Value,Firefox For Android,"December 30, 2013",2,213
No Measure Value,Firefox For Android,"December 23, 2013",1,212
No Measure Value,Firefox For Android,"December 16, 2013",0,211
No Measure Value,Firefox For Android,"December 9, 2013",1,211
No Measure Value,Firefox For Android,"December 2, 2013",0,209
No Measure Value,Firefox,"October 27, 2014",16,3199
No Measure Value,Firefox,"October 20, 2014",13,3197
No Measure Value,Firefox,"October 13, 2014",12,3207
No Measure Value,Firefox,"October 6, 2014",14,3212
No Measure Value,Firefox,"September 29, 2014",10,3197
No Measure Value,Firefox,"September 22, 2014",13,3203
No Measure Value,Firefox,"September 15, 2014",11,3208
No Measure Value,Firefox,"September 8, 2014",10,3224
No Measure Value,Firefox,"September 1, 2014",9,3217
No Measure Value,Firefox,"August 25, 2014",12,3215
No Measure Value,Firefox,"August 18, 2014",12,3219
No Measure Value,Firefox,"August 11, 2014",10,3205
No Measure Value,Firefox,"August 4, 2014",7,3205
No Measure Value,Firefox,"July 28, 2014",16,3208
No Measure Value,Firefox,"July 21, 2014",8,3199
No Measure Value,Firefox,"July 14, 2014",7,3195
No Measure Value,Firefox,"July 7, 2014",12,3204
No Measure Value,Firefox,"June 30, 2014",12,3186
No Measure Value,Firefox,"June 23, 2014",13,3176
No Measure Value,Firefox,"June 16, 2014",13,3172
No Measure Value,Firefox,"June 9, 2014",14,3162
No Measure Value,Firefox,"June 2, 2014",18,3158
No Measure Value,Firefox,"May 26, 2014",15,3148
No Measure Value,Firefox,"May 19, 2014",13,3142
No Measure Value,Firefox,"May 12, 2014",16,3128
No Measure Value,Firefox,"May 5, 2014",18,3114
No Measure Value,Firefox,"April 28, 2014",15,3103
No Measure Value,Firefox,"April 21, 2014",7,3095
No Measure Value,Firefox,"April 14, 2014",14,3103
No Measure Value,Firefox,"April 7, 2014",14,3104
No Measure Value,Firefox,"March 31, 2014",21,3085
No Measure Value,Firefox,"March 24, 2014",15,3062
No Measure Value,Firefox,"March 17, 2014",9,3035
No Measure Value,Firefox,"March 10, 2014",9,3027
No Measure Value,Firefox,"March 3, 2014",13,3019
No Measure Value,Firefox,"February 24, 2014",15,3011
No Measure Value,Firefox,"February 17, 2014",19,2999
No Measure Value,Firefox,"February 10, 2014",15,2975
No Measure Value,Firefox,"February 3, 2014",15,2954
No Measure Value,Firefox,"January 27, 2014",18,2930
No Measure Value,Firefox,"January 20, 2014",18,2919
No Measure Value,Firefox,"January 13, 2014",4,2879
No Measure Value,Firefox,"January 6, 2014",8,2864
No Measure Value,Firefox,"December 30, 2013",7,2852
No Measure Value,Firefox,"December 23, 2013",17,2848
No Measure Value,Firefox,"December 16, 2013",10,2833
No Measure Value,Firefox,"December 9, 2013",22,2812
No Measure Value,Firefox,"December 2, 2013",10,2787
